t,[L2M],[D],[L],[L2MD],[L2Ms]
0.0000e+00,1.5000e+00,1.5000e+00,1.0000e+01,0.0000e+00,0.0000e+00
1.0000e+01,1.4933e+00,1.4956e+00,1.0001e+01,4.4273e-03,7.3897e-04
2.0000e+01,1.4882e+00,1.4911e+00,1.0001e+01,8.8439e-03,1.4783e-03
3.0000e+01,1.4831e+00,1.4867e+00,1.0001e+01,1.3232e-02,2.2152e-03
4.0000e+01,1.4780e+00,1.4824e+00,1.0001e+01,1.7593e-02,2.9495e-03
5.0000e+01,1.4729e+00,1.4780e+00,1.0001e+01,2.1926e-02,3.6813e-03
6.0000e+01,1.4679e+00,1.4737e+00,1.0001e+01,2.6232e-02,4.4106e-03
7.0000e+01,1.4629e+00,1.4695e+00,1.0001e+01,3.0510e-02,5.1375e-03
8.0000e+01,1.4579e+00,1.4652e+00,1.0001e+01,3.4762e-02,5.8619e-03
9.0000e+01,1.4529e+00,1.4610e+00,1.0001e+01,3.8987e-02,6.5838e-03
1.0000e+02,1.4480e+00,1.4568e+00,1.0001e+01,4.3185e-02,7.3033e-03
1.1000e+02,1.4431e+00,1.4526e+00,1.0001e+01,4.7358e-02,8.0204e-03
1.2000e+02,1.4383e+00,1.4484e+00,1.0001e+01,5.1504e-02,8.7350e-03
1.3000e+02,1.4334e+00,1.4443e+00,1.0001e+01,5.5625e-02,9.4473e-03
1.4000e+02,1.4286e+00,1.4402e+00,1.0001e+01,5.9721e-02,1.0157e-02
1.5000e+02,1.4238e+00,1.4361e+00,1.0001e+01,6.3791e-02,1.0865e-02
1.6000e+02,1.4191e+00,1.4321e+00,1.0001e+01,6.7836e-02,1.1570e-02
1.7000e+02,1.4144e+00,1.4281e+00,1.0001e+01,7.1857e-02,1.2273e-02
1.8000e+02,1.4097e+00,1.4241e+00,1.0001e+01,7.5853e-02,1.2973e-02
1.9000e+02,1.4050e+00,1.4201e+00,1.0001e+01,7.9824e-02,1.3671e-02
2.0000e+02,1.4004e+00,1.4161e+00,1.0001e+01,8.3772e-02,1.4367e-02
2.1000e+02,1.3957e+00,1.4122e+00,1.0001e+01,8.7695e-02,1.5061e-02
2.2000e+02,1.3912e+00,1.4083e+00,1.0001e+01,9.1595e-02,1.5752e-02
2.3000e+02,1.3866e+00,1.4044e+00,1.0001e+01,9.5472e-02,1.6441e-02
2.4000e+02,1.3820e+00,1.4006e+00,1.0001e+01,9.9325e-02,1.7128e-02
2.5000e+02,1.3775e+00,1.3967e+00,1.0001e+01,1.0315e-01,1.7813e-02
2.6000e+02,1.3730e+00,1.3929e+00,1.0001e+01,1.0696e-01,1.8495e-02
2.7000e+02,1.3686e+00,1.3891e+00,1.0001e+01,1.1075e-01,1.9175e-02
2.8000e+02,1.3641e+00,1.3854e+00,1.0001e+01,1.1451e-01,1.9853e-02
2.9000e+02,1.3597e+00,1.3816e+00,1.0001e+01,1.1825e-01,2.0529e-02
3.0000e+02,1.3553e+00,1.3779e+00,1.0001e+01,1.2197e-01,2.1203e-02
3.1000e+02,1.3510e+00,1.3742e+00,1.0001e+01,1.2566e-01,2.1874e-02
3.2000e+02,1.3466e+00,1.3705e+00,1.0001e+01,1.2934e-01,2.2543e-02
3.3000e+02,1.3423e+00,1.3669e+00,1.0001e+01,1.3299e-01,2.3211e-02
3.4000e+02,1.3380e+00,1.3632e+00,1.0001e+01,1.3662e-01,2.3876e-02
3.5000e+02,1.3337e+00,1.3596e+00,1.0001e+01,1.4023e-01,2.4539e-02
3.6000e+02,1.3295e+00,1.3560e+00,1.0001e+01,1.4382e-01,2.5199e-02
3.7000e+02,1.3253e+00,1.3525e+00,1.0001e+01,1.4739e-01,2.5858e-02
