t,[L2M],[D],[L],[L2MD],[L2Ms]
0.0000e+00,2.0000e+00,4.0000e+00,1.2500e+01,0.0000e+00,0.0000e+00
1.0000e+01,1.9851e+00,3.9875e+00,1.2502e+01,1.2506e-02,7.8282e-04
2.0000e+01,1.9719e+00,3.9750e+00,1.2502e+01,2.4929e-02,1.5629e-03
3.0000e+01,1.9588e+00,3.9627e+00,1.2502e+01,3.7232e-02,2.3379e-03
4.0000e+01,1.9459e+00,3.9505e+00,1.2502e+01,4.9417e-02,3.1078e-03
5.0000e+01,1.9330e+00,3.9384e+00,1.2502e+01,6.1484e-02,3.8726e-03
6.0000e+01,1.9203e+00,3.9265e+00,1.2502e+01,7.3436e-02,4.6324e-03
7.0000e+01,1.9077e+00,3.9146e+00,1.2502e+01,8.5273e-02,5.3873e-03
8.0000e+01,1.8953e+00,3.9029e+00,1.2502e+01,9.6999e-02,6.1372e-03
9.0000e+01,1.8829e+00,3.8913e+00,1.2502e+01,1.0861e-01,6.8823e-03
1.0000e+02,1.8707e+00,3.8798e+00,1.2502e+01,1.2012e-01,7.6225e-03
1.1000e+02,1.8585e+00,3.8684e+00,1.2502e+01,1.3151e-01,8.3579e-03
1.2000e+02,1.8465e+00,3.8571e+00,1.2502e+01,1.4281e-01,9.0887e-03
1.3000e+02,1.8346e+00,3.8459e+00,1.2502e+01,1.5399e-01,9.8147e-03
1.4000e+02,1.8228e+00,3.8348e+00,1.2502e+01,1.6507e-01,1.0536e-02
1.5000e+02,1.8111e+00,3.8238e+00,1.2502e+01,1.7605e-01,1.1253e-02
1.6000e+02,1.7995e+00,3.8129e+00,1.2502e+01,1.8693e-01,1.1965e-02
1.7000e+02,1.7880e+00,3.8021e+00,1.2502e+01,1.9771e-01,1.2673e-02
1.8000e+02,1.7766e+00,3.7914e+00,1.2502e+01,2.0839e-01,1.3376e-02
1.9000e+02,1.7654e+00,3.7808e+00,1.2502e+01,2.1897e-01,1.4075e-02
2.0000e+02,1.7542e+00,3.7703e+00,1.2502e+01,2.2945e-01,1.4769e-02
2.1000e+02,1.7431e+00,3.7599e+00,1.2502e+01,2.3984e-01,1.5459e-02
2.2000e+02,1.7321e+00,3.7496e+00,1.2502e+01,2.5014e-01,1.6145e-02
2.3000e+02,1.7212e+00,3.7394e+00,1.2502e+01,2.6035e-01,1.6826e-02
2.4000e+02,1.7104e+00,3.7293e+00,1.2502e+01,2.7046e-01,1.7503e-02
2.5000e+02,1.6997e+00,3.7193e+00,1.2502e+01,2.8048e-01,1.8176e-02
2.6000e+02,1.6891e+00,3.7093e+00,1.2502e+01,2.9042e-01,1.8844e-02
2.7000e+02,1.6786e+00,3.6995e+00,1.2502e+01,3.0027e-01,1.9509e-02
2.8000e+02,1.6682e+00,3.6897e+00,1.2502e+01,3.1003e-01,2.0169e-02
2.9000e+02,1.6579e+00,3.6800e+00,1.2502e+01,3.1970e-01,2.0826e-02
3.0000e+02,1.6476e+00,3.6704e+00,1.2502e+01,3.2929e-01,2.1478e-02
3.1000e+02,1.6375e+00,3.6609e+00,1.2502e+01,3.3880e-01,2.2126e-02
3.2000e+02,1.6274e+00,3.6515e+00,1.2502e+01,3.4822e-01,2.2771e-02
3.3000e+02,1.6174e+00,3.6421e+00,1.2502e+01,3.5756e-01,2.3411e-02
3.4000e+02,1.6075e+00,3.6329e+00,1.2502e+01,3.6682e-01,2.4048e-02
3.5000e+02,1.5977e+00,3.6237e+00,1.2502e+01,3.7600e-01,2.4680e-02
3.6000e+02,1.5880e+00,3.6146e+00,1.2502e+01,3.8511e-01,2.5309e-02
3.7000e+02,1.5783e+00,3.6055e+00,1.2502e+01,3.9413e-01,2.5934e-02
3.8000e+02,1.5688e+00,3.5966e+00,1.2502e+01,4.0308e-01,2.6555e-02
3.9000e+02,1.5593e+00,3.5877e+00,1.2502e+01,4.1195e-01,2.7173e-02
4.0000e+02,1.5499e+00,3.5789e+00,1.2502e+01,4.2075e-01,2.7786e-02
4.1000e+02,1.5405e+00,3.5702e+00,1.2502e+01,4.2947e-01,2.8396e-02
4.2000e+02,1.5313e+00,3.5615e+00,1.2502e+01,4.3812e-01,2.9003e-02
