Experiment_#,[L2M]_0,[D]_0,[L]_0,T_finish,T1/2,Reaction_Extent,Product_Yield,Side_Product_Yield/%
0,1.0000e+00,1.0000e+00,0.0000e+00,7.0266e+02,4.3650e+01,9.9900e+01,6.3200e+01,2.7100e+01
1,1.0000e+00,1.0000e+00,2.5000e+00,7.2996e+03,8.5969e+02,9.7970e+01,6.8500e+01,2.9000e+01
2,1.0000e+00,1.0000e+00,5.0000e+00,1.1584e+04,1.7058e+03,9.6100e+01,6.7600e+01,2.8300e+01
3,1.0000e+00,1.0000e+00,7.5000e+00,1.4400e+04,2.5524e+03,9.3880e+01,6.6400e+01,2.7300e+01
4,1.0000e+00,1.0000e+00,1.0000e+01,1.4400e+04,3.3992e+03,8.9190e+01,6.3700e+01,2.5400e+01
5,1.0000e+00,1.0000e+00,1.2500e+01,1.4400e+04,4.2459e+03,8.4540e+01,6.0900e+01,2.3500e+01
6,1.0000e+00,1.0000e+00,1.5000e+01,1.4400e+04,5.0927e+03,8.0160e+01,5.8200e+01,2.1800e+01
7,1.0000e+00,1.0000e+00,1.7500e+01,1.4400e+04,5.9395e+03,7.6110e+01,5.5700e+01,2.0400e+01
8,1.0000e+00,1.0000e+00,2.0000e+01,1.4400e+04,6.7863e+03,7.2410e+01,5.3300e+01,1.9000e+01
9,1.0000e+00,1.0000e+00,2.2500e+01,1.4400e+04,7.6331e+03,6.9010e+01,5.1100e+01,1.7900e+01
10,1.0000e+00,1.5000e+00,0.0000e+00,5.2660e+02,3.4240e+01,9.9950e+01,7.3000e+01,1.7500e+01
11,1.0000e+00,1.5000e+00,2.5000e+00,5.5653e+03,5.8879e+02,9.9090e+01,7.9700e+01,1.9000e+01
12,1.0000e+00,1.5000e+00,5.0000e+00,9.2227e+03,1.1638e+03,9.8220e+01,7.9200e+01,1.8800e+01
13,1.0000e+00,1.5000e+00,7.5000e+00,1.2237e+04,1.7391e+03,9.7360e+01,7.8600e+01,1.8600e+01
14,1.0000e+00,1.5000e+00,1.0000e+01,1.4400e+04,2.3144e+03,9.6200e+01,7.7800e+01,1.8300e+01
15,1.0000e+00,1.5000e+00,1.2500e+01,1.4400e+04,2.8898e+03,9.3340e+01,7.5700e+01,1.7600e+01
16,1.0000e+00,1.5000e+00,1.5000e+01,1.4400e+04,3.4652e+03,9.0240e+01,7.3400e+01,1.6800e+01
17,1.0000e+00,1.5000e+00,1.7500e+01,1.4400e+04,4.0407e+03,8.7080e+01,7.1000e+01,1.6000e+01
18,1.0000e+00,1.5000e+00,2.0000e+01,1.4400e+04,4.6161e+03,8.3980e+01,6.8600e+01,1.5300e+01
19,1.0000e+00,1.5000e+00,2.2500e+01,1.4400e+04,5.1916e+03,8.0990e+01,6.6300e+01,1.4600e+01
20,1.0000e+00,2.0000e+00,0.0000e+00,4.3026e+02,2.9270e+01,9.9970e+01,7.7800e+01,1.2700e+01
21,1.0000e+00,2.0000e+00,2.5000e+00,4.3617e+03,4.4744e+02,9.9440e+01,8.5200e+01,1.3900e+01
